event_id,event_name , type,category,start_date,end_date,start_time,end_time,average_rating,total_ratings,area,governorate,latitude,longitude,google_maps_link,Price_EGY,Price_Foreigners
30,Sinai Heritage Camel Race,Competition,Cultural,2/22/2025,2/23/2025,8:00,18:00,4.6,2636,North Sinai,North Sinai,30.9314,33.7979,"https://www.google.com/maps?q=30.9314,33.7979",1650,1500
31,Moulid of Sayyidna Al-Hussein,Celebration,Muslim,4/28/2025,5/2/2025,8:00,19:00,4.5,5724,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",550,1750
32,Wadi El Gemal National Park Safari,Festival,Safari,11/22/2025,11/26/2025,10:00,22:00,4.5,10687,Marsa Alam,Red Sea,25.0661,34.8903,"https://www.google.com/maps?q=25.0661,34.8903",4950,4500
33,Minya Heritage Festival,Festival,Historical,10/7/2025,10/11/2025,10:00,23:00,4.5,6632,Minya,Minya,28.0871,30.7618,"https://www.google.com/maps?q=28.0871,30.7618",5400,5750
34,Tuna El-Gebel Archaeological Festival,Festival,Archaeological,3/5/2025,3/8/2025,10:00,22:00,4.5,5015,Minya,Minya,28.0871,30.7618,"https://www.google.com/maps?q=28.0871,30.7618",1750,3250
35,Red Sea Conservation Awareness Week,Celebration,Ecotourism,6/10/2025,6/16/2025,13:00,23:00,4.5,228,Red Sea,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",300,750
36,Ras Mohammed National Park Eco Day,Celebration,Ecotourism,6/9/2025,6/10/2025,13:00,23:00,4.5,10130,Sharm El Sheikh,South Sinai,27.9158,34.33,"https://www.google.com/maps?q=27.9158,34.33",1000,500
37,Alexandria International Theatre Festival,Festival,Cultural,9/28/2025,10/3/2025,10:00,22:00,4.4,10568,Alexandria,Alexandria,31.2001,29.9187,"https://www.google.com/maps?q=31.2001,29.9187",2400,4750
38,Aswan International Sculpture Symposium,Exhibition,Cultural,2/12/2025,3/13/2025,9:00,21:00,4.4,13373,Aswan,Aswan,24.0889,32.8998,"https://www.google.com/maps?q=24.0889,32.8998",800,2000
39,Luxor African Film Festival,Festival,Cultural,3/15/2025,3/21/2025,10:00,23:00,4.4,13411,Luxor,Luxor,25.6872,32.6396,"https://www.google.com/maps?q=25.6872,32.6396",3050,5000
40,Luxor Temple Sound and Light,Performance,Pharaonic,1/17/2025,1/16/2026,20:00,23:00,4.4,2604,Luxor,Luxor,25.6872,32.6396,"https://www.google.com/maps?q=25.6872,32.6396",2150,2750
41,Marsa Alam Diving Festival,Festival,Marine,9/21/2025,9/25/2025,10:00,23:00,4.4,14268,Marsa Alam,Red Sea,25.0661,34.8903,"https://www.google.com/maps?q=25.0661,34.8903",2500,4000
42,Beni Hasan Tomb Tours,Exhibition,Archaeological,12/15/2025,1/13/2026,9:00,20:00,4.4,9324,Minya,Minya,28.0871,30.7618,"https://www.google.com/maps?q=28.0871,30.7618",2050,2500
43,Port Said Free Zone Trade Fair,Fair,Cultural,11/8/2025,11/12/2025,9:00,20:00,4.4,751,Port Said,Port Said,31.2565,32.2841,"https://www.google.com/maps?q=31.2565,32.2841",300,1000
44,Red Sea Kite Surfing Festival,Competition,Beach,9/18/2025,9/21/2025,10:00,23:00,4.4,14859,Red Sea,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",2100,4750
45,Elephantine Island Heritage Tour,Celebration,Historical,11/27/2025,11/28/2025,9:00,23:00,4.3,2160,Aswan,Aswan,24.0889,32.8998,"https://www.google.com/maps?q=24.0889,32.8998",50,250
46,Cairo International Book Fair,Exhibition,Cultural,1/23/2025,2/5/2025,9:00,21:00,4.3,3761,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",1100,750
47,Egyptian Museum Night Tours,Exhibition,Archaeological,6/5/2025,7/4/2025,9:00,20:00,4.3,1589,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",1150,3000
48,Dahab Blue Hole Diving Festival,Festival,Marine,10/7/2025,10/10/2025,10:00,22:00,4.3,11951,Dahab,South Sinai,28.5096,34.5133,"https://www.google.com/maps?q=28.5096,34.5133",3000,1750
49,Red Sea Beach Music Festival,Festival,Beach,6/8/2025,6/10/2025,10:00,23:00,4.3,584,Hurghada,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",3550,5750
50,Hurghada International Fishing Tournament,Competition,Marine,10/9/2025,10/11/2025,8:00,18:00,4.3,10038,Hurghada,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",3150,4750
51,Mansoura University Cultural Week,Festival,Cultural,4/19/2025,4/25/2025,10:00,22:00,4.3,5283,Mansoura,Dakahlia,31.0364,31.3807,"https://www.google.com/maps?q=31.0364,31.3807",4050,1250
52,Siwa Oasis Cultural Festival,Festival,Oasis,10/3/2025,10/7/2025,10:00,23:00,4.3,13738,New Valley,New Valley,25.4425,30.5586,"https://www.google.com/maps?q=25.4425,30.5586",3450,4250
53,Siyaha Festival (Sinai),Festival,Cultural,5/23/2025,5/25/2025,10:00,23:00,4.3,11366,North Sinai,North Sinai,30.9314,33.7979,"https://www.google.com/maps?q=30.9314,33.7979",3700,2250
54,Ain Sokhna Wellness Weekend,Festival,Medical,5/9/2025,5/10/2025,10:00,22:00,4.2,1335,Ain Sokhna,Suez,29.5926,32.3342,"https://www.google.com/maps?q=29.5926,32.3342",3450,2000
55,Alexandria Mediterranean Festival,Festival,Cultural,8/6/2025,8/12/2025,10:00,22:00,4.2,11930,Alexandria,Alexandria,31.2001,29.9187,"https://www.google.com/maps?q=31.2001,29.9187",4850,3000
56,Great Sand Sea Desert Safari,Festival,Desert,3/14/2025,3/17/2025,10:00,22:00,4.2,3602,New Valley,New Valley,25.4425,30.5586,"https://www.google.com/maps?q=25.4425,30.5586",2300,5000
57,Sohag Sufi Music Festival,Festival,Cultural,11/21/2025,11/24/2025,10:00,23:00,4.2,4489,Sohag,Sohag,26.5591,31.6956,"https://www.google.com/maps?q=26.5591,31.6956",1750,3250
58,Nile Cruise Cultural Week,Festival,Nile,4/4/2025,4/10/2025,10:00,23:00,4.1,7578,Aswan,Aswan,24.0889,32.8998,"https://www.google.com/maps?q=24.0889,32.8998",4850,5000
59,Cairo Jazz Festival,Festival,Cultural,4/19/2025,4/21/2025,10:00,22:00,4.1,3693,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",3500,2250
60,Khan El Khalili Heritage Walk,Celebration,Historical,2/20/2025,2/21/2025,9:00,20:00,4.1,7768,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",200,1500
61,Dahab Lagoon Kitesurfing Cup,Competition,Beach,7/26/2025,7/28/2025,8:00,18:00,4.1,1645,Dahab,South Sinai,28.5096,34.5133,"https://www.google.com/maps?q=28.5096,34.5133",2000,3500
62,Siwa Salt Lakes Wellness Retreat,Festival,Medical,6/28/2025,7/2/2025,10:00,22:00,4.1,1060,New Valley,New Valley,25.4425,30.5586,"https://www.google.com/maps?q=25.4425,30.5586",3800,5000
63,Black Desert Adventure Rally,Competition,Desert,11/6/2025,11/8/2025,8:00,18:00,4.1,6496,New Valley,New Valley,25.4425,30.5586,"https://www.google.com/maps?q=25.4425,30.5586",1400,750
64,Bir Al-Abd Cultural Fair,Fair,Cultural,9/10/2025,9/12/2025,9:00,20:00,4.1,9205,North Sinai,North Sinai,30.9314,33.7979,"https://www.google.com/maps?q=30.9314,33.7979",900,250
65,Sharm El Sheikh International Jazz Festival,Festival,Cultural,10/21/2025,10/24/2025,10:00,22:00,4.1,8579,Sharm El Sheikh,South Sinai,27.9158,34.33,"https://www.google.com/maps?q=27.9158,34.33",4250,4500
66,Sohag Handicrafts Fair,Fair,Cultural,6/8/2025,6/11/2025,9:00,20:00,4.1,2684,Sohag,Sohag,26.5591,31.6956,"https://www.google.com/maps?q=26.5591,31.6956",150,750
67,Mount Sinai Sunrise Trek,Celebration,Historical,4/4/2025,4/4/2025,14:00,20:00,4,6835,Dahab,South Sinai,28.5096,34.5133,"https://www.google.com/maps?q=28.5096,34.5133",1100,2000
68,El Gouna Kiteboarding Competition,Competition,Beach,9/28/2025,10/1/2025,8:00,18:00,4,8523,El Gouna,Red Sea,27.3951,33.6796,"https://www.google.com/maps?q=27.3951,33.6796",1800,1000
69,Hurghada Wellness & Spa Expo,Fair,Medical,5/12/2025,5/14/2025,9:00,21:00,4,11130,Hurghada,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",950,500
70,Giftun Island Eco Tours,Festival,Ecotourism,5/23/2025,6/21/2025,10:00,22:00,4,11104,Hurghada,Red Sea,27.2578,33.8116,"https://www.google.com/maps?q=27.2578,33.8116",1350,3750
71,Thebes Cultural Nights,Performance,Pharaonic,4/20/2025,4/24/2025,20:00,23:00,4,419,Luxor,Luxor,25.6872,32.6396,"https://www.google.com/maps?q=25.6872,32.6396",3150,3250
72,Sharm Nightlife Week,Festival,Beach,8/3/2025,8/9/2025,10:00,22:00,4,9738,Sharm El Sheikh,South Sinai,27.9158,34.33,"https://www.google.com/maps?q=27.9158,34.33",4700,2250
73,Bibliotheca Alexandrina Book Fair,Fair,Cultural,5/24/2025,6/2/2025,9:00,20:00,3.9,8301,Alexandria,Alexandria,31.2001,29.9187,"https://www.google.com/maps?q=31.2001,29.9187",250,750
74,Cairo Opera House Symphony Orchestra,Performance,Cultural,3/9/2025,3/9/2025,20:00,23:00,3.9,2436,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",2850,2750
75,Dahab Bedouin Cultural Nights,Celebration,Cultural,12/19/2025,12/21/2025,13:00,20:00,3.9,7849,Dahab,South Sinai,28.5096,34.5133,"https://www.google.com/maps?q=28.5096,34.5133",300,250
76,El Gouna Art Walk,Exhibition,Cultural,3/8/2025,3/14/2025,9:00,20:00,3.9,8053,El Gouna,Red Sea,27.3951,33.6796,"https://www.google.com/maps?q=27.3951,33.6796",1000,2250
77,Ismailia Folklore Festival,Festival,Cultural,7/7/2025,7/11/2025,10:00,22:00,3.9,1058,Ismailia,Ismailia,30.5965,32.2715,"https://www.google.com/maps?q=30.5965,32.2715",2800,2750
78,Mansoura Book Fair,Fair,Cultural,2/11/2025,2/20/2025,9:00,20:00,3.9,6584,Mansoura,Dakahlia,31.0364,31.3807,"https://www.google.com/maps?q=31.0364,31.3807",300,250
79,Port Said International Theatre Festival,Festival,Cultural,9/5/2025,9/9/2025,10:00,23:00,3.9,9347,Port Said,Port Said,31.2565,32.2841,"https://www.google.com/maps?q=31.2565,32.2841",3100,2250
80,Suez Canal Celebrations,Celebration,Historical,8/26/2025,8/28/2025,10:00,21:00,3.9,3606,Suez City,Suez,29.9668,32.5498,"https://www.google.com/maps?q=29.9668,32.5498",250,500
81,Ain Sokhna Yacht Racing Cup,Competition,Beach,9/8/2025,9/10/2025,8:00,18:00,3.8,8886,Ain Sokhna,Suez,29.5926,32.3342,"https://www.google.com/maps?q=29.5926,32.3342",2050,1000
82,Tamer Hosny Live in Concert,Concert,Cultural,7/21/2025,7/21/2025,20:00,23:00,3.8,12096,Alexandria,Alexandria,31.2001,29.9187,"https://www.google.com/maps?q=31.2001,29.9187",8250,3500
83,Qaitbay Citadel Concerts,Concert,Historical,7/25/2025,7/27/2025,20:00,23:00,3.8,1843,Alexandria,Alexandria,31.2001,29.9187,"https://www.google.com/maps?q=31.2001,29.9187",3250,7250
84,El Gouna Yoga Retreat Festival,Festival,Medical,11/2/2025,11/6/2025,10:00,22:00,3.8,614,El Gouna,Red Sea,27.3951,33.6796,"https://www.google.com/maps?q=27.3951,33.6796",4100,2250
85,Ismailia International Film Festival,Festival,Cultural,4/2/2025,4/7/2025,10:00,23:00,3.8,675,Ismailia,Ismailia,30.5965,32.2715,"https://www.google.com/maps?q=30.5965,32.2715",1350,1750
86,Pharaonic Nights at Karnak,Performance,Pharaonic,12/22/2025,12/28/2025,20:00,23:00,3.8,4891,Luxor,Luxor,25.6872,32.6396,"https://www.google.com/maps?q=25.6872,32.6396",3000,5000
87,Nile Delta Folk Arts Festival,Festival,Cultural,9/9/2025,9/13/2025,10:00,22:00,3.8,11834,Mansoura,Dakahlia,31.0364,31.3807,"https://www.google.com/maps?q=31.0364,31.3807",3700,2750
88,Sharm El Sheikh Electronic Music Festival,Festival,Beach,7/18/2025,7/21/2025,10:00,23:00,3.8,10797,Sharm El Sheikh,South Sinai,27.9158,34.33,"https://www.google.com/maps?q=27.9158,34.33",1700,4250
89,Tiran Island Boat Tours,Festival,Marine,6/18/2025,7/17/2025,10:00,22:00,3.8,3708,Sharm El Sheikh,South Sinai,27.9158,34.33,"https://www.google.com/maps?q=27.9158,34.33",2800,1750
90,Sokhna Summer Beach Festival,Festival,Beach,7/15/2025,7/19/2025,10:00,22:00,3.7,3106,Ain Sokhna,Suez,29.5926,32.3342,"https://www.google.com/maps?q=29.5926,32.3342",2700,2750
91,Aida Opera Performance,Performance,Cultural,5/24/2025,5/26/2025,20:00,23:00,3.7,12285,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",2500,3000
92,Sherine Abdel Wahab Concert,Concert,Cultural,8/8/2025,8/8/2025,20:00,23:00,3.7,6366,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",2800,6250
93,Al-Azhar Park Ramadan Nights,Celebration,Muslim,3/25/2025,4/23/2025,9:00,23:00,3.7,10380,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",250,500
94,El Gouna Film Festival,Festival,Cultural,10/21/2025,10/28/2025,10:00,23:00,3.7,12299,El Gouna,Red Sea,27.3951,33.6796,"https://www.google.com/maps?q=27.3951,33.6796",1700,3750
95,Giza Solar Boat Museum Exhibition,Exhibition,Archaeological,9/11/2025,10/10/2025,9:00,20:00,3.7,7223,Giza,Giza,30.0131,31.2089,"https://www.google.com/maps?q=30.0131,31.2089",1000,1000
96,Port Said National Museum Night,Exhibition,Historical,7/13/2025,8/11/2025,9:00,20:00,3.7,9433,Port Said,Port Said,31.2565,32.2841,"https://www.google.com/maps?q=31.2565,32.2841",600,1250
97,Ras Mohammed Diving Festival,Festival,Marine,9/15/2025,9/19/2025,10:00,22:00,3.7,3781,Sharm El Sheikh,South Sinai,27.9158,34.33,"https://www.google.com/maps?q=27.9158,34.33",4650,2250
98,Abu Simbel Sun Festival,Celebration,Pharaonic,2/4/2025,2/5/2025,8:00,21:00,3.6,14035,Aswan,Aswan,24.0889,32.8998,"https://www.google.com/maps?q=24.0889,32.8998",900,1000
99,Philae Temple Light Show,Performance,Pharaonic,1/8/2025,1/7/2026,20:00,23:00,3.6,9395,Aswan,Aswan,24.0889,32.8998,"https://www.google.com/maps?q=24.0889,32.8998",1000,3250
100,Aswan Botanical Garden Fair,Fair,Ecotourism,3/3/2025,3/5/2025,9:00,20:00,3.6,8062,Aswan,Aswan,24.0889,32.8998,"https://www.google.com/maps?q=24.0889,32.8998",650,1250
101,Amr Diab Live Concert,Concert,Cultural,7/18/2025,7/18/2025,20:00,23:00,3.6,7062,Cairo,Cairo,30.0444,31.2357,"https://www.google.com/maps?q=30.0444,31.2357",7850,6000
102,El Gouna Beach Polo Tournament,Competition,Beach,8/1/2025,8/3/2025,8:00,18:00,3.6,10439,El Gouna,Red Sea,27.3951,33.6796,"https://www.google.com/maps?q=27.3951,33.6796",850,3250
103,Suez Canal Authority Open Day,Celebration,Historical,8/19/2025,8/20/2025,14:00,21:00,3.6,5238,Ismailia,Ismailia,30.5965,32.2715,"https://www.google.com/maps?q=30.5965,32.2715",200,1000
104,Ismailia International Short Film Festival,Festival,Cultural,5/2/2025,5/5/2025,10:00,22:00,3.6,7911,Ismailia,Ismailia,30.5965,32.2715,"https://www.google.com/maps?q=30.5965,32.2715",1000,2250
105,Port Said Corniche Festival,Festival,Beach,8/20/2025,8/23/2025,10:00,22:00,3.6,10870,Port Said,Port Said,31.2565,32.2841,"https://www.google.com/maps?q=31.2565,32.2841",4500,2500
106,Sohag Ancient Egyptian Festival,Festival,Pharaonic,2/4/2025,2/8/2025,10:00,22:00,3.6,3592,Sohag,Sohag,26.5591,31.6956,"https://www.google.com/maps?q=26.5591,31.6956",4450,2500
107,Suez National Day Celebrations,Celebration,Historical,10/17/2025,10/19/2025,13:00,18:00,3.6,8420,Suez City,Suez,29.9668,32.5498,"https://www.google.com/maps?q=29.9668,32.5498",400,1000
108,Gulf of Suez Fishing Festival,Festival,Marine,9/20/2025,9/23/2025,10:00,22:00,3.6,3953,Suez City,Suez,29.9668,32.5498,"https://www.google.com/maps?q=29.9668,32.5498",4750,4500
109,Taba Castle Historical Tours,Exhibition,Historical,4/4/2025,5/3/2025,9:00,20:00,3.6,8956,Taba,South Sinai,29.4973,34.898,"https://www.google.com/maps?q=29.4973,34.898",1150,1500
110,Amr Diab Summer Tour - Alexandria,Concert,Cultural,8/2/2025,8/2/2025,20:00,23:00,3.5,3732,Alexandria,Alexandria,31.2001,29.9187,"https://www.google.com/maps?q=31.2001,29.9187",3800,3000
111,Taba Red Sea Diving Week,Festival,Marine,8/27/2025,8/31/2025,10:00,22:00,3.5,1628,Taba,South Sinai,29.4973,34.898,"https://www.google.com/maps?q=29.4973,34.898",3050,4500
